,country,name,full_name,isin,currency,symbol
158,spain,Autonomy Spain Real Estate Socimi S,Autonomy Spain Real Estate Socimi SA,ES0105090007,EUR,YARE
159,spain,Obsido Socimi SA,Obsido Socimi SA,ES0105074001,EUR,YOSO
160,spain,Pharma Mar,Pharma Mar SAU,ES0169501030,EUR,PHMR
161,spain,Gigas Hosting SA,Gigas Hosting SA,ES0105093001,EUR,GIGAH
162,spain,Neol Biosolutions SA,Neol Biosolutions SA,ES0105081006,EUR,NEOL
163,spain,Agile Content SA,Agile Content SA,ES0105102000,EUR,AGIL
164,spain,Zambal Spain Socimi SA,Zambal Spain Socimi SA,ES0105080008,EUR,YZBL
165,spain,Oryzon Genomics,Oryzon Genomics SA,ES0167733015,EUR,ORY
166,spain,Tecnoquark Trust SA,Tecnoquark Trust SA,ES0105076006,EUR,TQT
167,spain,Clerhp Estructuras,Clerhp Estructuras SA,ES0105121000,EUR,CLRE
168,spain,Corpfin Capital Prime Retail III,Corpfin Capital Prime Retail III SOCIMI SA,ES0105111001,EUR,YPR3
169,spain,Global Dominion,Global Dominion Access SA,ES0105130001,EUR,DOMI
170,spain,Parques Reunidos,Parques Reunidos SERVICIOS CENTRALES SAU,ES0105131009,EUR,PQR
171,spain,Jaba I Inversiones,Jaba I Inversiones Inmobiliarias Socimi SA,ES0105098000,EUR,YABA
172,spain,Silvercode Investments,Silvercode Investments SOCIMI SA,ES0105133005,EUR,YSCI
173,spain,Coca-Cola European,Coca-Cola European Partners PLC,GB00BDCPN049,EUR,CCEP
174,spain,Asturias Retail,Asturias Retail and Leisure SOCIMI SAU,ES0105127007,EUR,YAST
175,spain,Vitruvio Real Estate,Vitruvio Real Estate Socimi,ES0105139002,EUR,YVIT
176,spain,Isc Fresh Water,Isc Fresh Water Investment SOCIMI SA,ES0105153003,EUR,YISC
177,spain,Quonia SOCIMI,Quonia SOCIMI SA,ES0105150009,EUR,YQUO
178,spain,Atrys Health,Atrys Health SL,ES0105148003,EUR,ATRY
179,spain,Voztelecom Oigaa360,Voztelecom Oigaa360 SA,ES0105156006,EUR,VOZ
180,spain,GMP Property,GMP Property SOCIMI SA,ES0105134011,EUR,YGMP
181,spain,Optimum Re Spain,Optimum Re Spain Socimi SA,ES0105174009,EUR,YORS
182,spain,CommCenter,CommCenter SA,ES0121071007,EUR,CMM
183,spain,ECG,Euroconsult Engineering Consulting Group SA,ES0105042008,EUR,ECG
184,spain,Clever Global,Clever Global SA,ES0105152005,EUR,CLE
185,spain,Mondo TV,Mondo TV Iberoamerica SA,ES0105216008,EUR,MONIB
186,spain,Pangaea Oncology,Pangaea Oncology SA,ES0105221008,EUR,PANGO
187,spain,VBARE Iberian Properties,VBARE Iberian Properties SOCIMI SA,ES0105196002,EUR,YVBA
188,spain,Ores Socimi,Olimpo Real Estate SA,ES0105224002,EUR,YORE
