Date,Open,High,Low,Close,Adj Close,Volume
2018/9/6,289.15 ,289.49 ,287.00 ,288.16 ,272.97 ,65909900.00 
2018/9/7,286.98 ,288.70 ,286.71 ,287.60 ,272.44 ,73524800.00 
2018/9/10,288.74 ,289.04 ,287.88 ,288.10 ,272.92 ,50210900.00 
2018/9/11,287.37 ,289.55 ,286.98 ,289.05 ,273.82 ,50530500.00 
2018/9/12,289.06 ,289.80 ,288.23 ,289.12 ,273.88 ,59810800.00 
2018/9/13,290.32 ,291.04 ,290.00 ,290.83 ,275.50 ,51034200.00 
2018/9/14,291.06 ,291.27 ,290.00 ,290.88 ,275.55 ,55079900.00 
2018/9/17,290.82 ,290.86 ,289.03 ,289.34 ,274.09 ,68244000.00 
2018/9/18,289.58 ,291.58 ,289.55 ,290.91 ,275.58 ,61930400.00 
2018/9/19,290.97 ,291.69 ,290.83 ,291.22 ,275.87 ,49080600.00 
2018/9/20,292.64 ,293.94 ,291.24 ,293.58 ,278.11 ,100360600.00 
2018/9/21,293.09 ,293.22 ,291.81 ,291.99 ,277.85 ,105479700.00 
2018/9/24,291.34 ,291.50 ,290.37 ,291.02 ,276.93 ,53409600.00 
2018/9/25,291.53 ,291.65 ,290.48 ,290.75 ,276.68 ,44370000.00 
2018/9/26,290.91 ,292.24 ,289.41 ,289.88 ,275.85 ,79739700.00 
2018/9/27,290.41 ,291.91 ,290.10 ,290.69 ,276.62 ,59249500.00 
2018/9/28,289.99 ,291.28 ,289.95 ,290.72 ,276.65 ,70091400.00 
2018/10/1,292.11 ,292.93 ,290.98 ,291.73 ,277.61 ,62078900.00 
2018/10/2,291.56 ,292.36 ,291.14 ,291.56 ,277.45 ,47258200.00 
2018/10/3,292.74 ,293.21 ,291.32 ,291.72 ,277.60 ,64694600.00 
2018/10/4,291.18 ,291.24 ,287.66 ,289.44 ,275.43 ,111545900.00 
2018/10/5,289.69 ,290.27 ,286.22 ,287.82 ,273.89 ,105951700.00 
2018/10/8,287.05 ,288.22 ,285.50 ,287.82 ,273.89 ,87742200.00 
2018/10/9,287.39 ,288.86 ,286.77 ,287.40 ,273.49 ,74339000.00 
2018/10/10,286.83 ,286.91 ,277.88 ,278.30 ,264.83 ,214731000.00 
2018/10/11,277.08 ,278.90 ,270.36 ,272.17 ,258.99 ,274840500.00 
2018/10/12,276.77 ,277.09 ,272.37 ,275.95 ,262.59 ,183186500.00 
2018/10/15,275.55 ,277.04 ,274.30 ,274.40 ,261.12 ,102263700.00 
2018/10/16,276.60 ,280.82 ,276.07 ,280.40 ,266.83 ,118255800.00 
