State,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16 (RE)
Odisha,274,258,470,357,406,559,668,742,843,938,1113,1310,1492,1747,1864,2188,2467,2636,3246,4889,4065,4122,4210,4360,4598,5386,6127,8196,11090,12520,15240,18050,19660,24810,34970,37440
Punjab,252,280,292,354,388,681,369,595,929,990,957,1099,1058,1335,1565,1767,1231,2242,3054,2724,3887,3730,2990,3525,3747,4052,4706,4991,6860,7110,8350,9970,12560,13080,17810,18510
Rajasthan,323,425,498,544,625,768,971,1439,1412,1405,1866,2036,2393,2783,3291,3912,4324,4697,5953,6377,7224,7730,8032,9228,9845,10920,12580,14683,19430,21580,22790,27850,33700,41900,59940,67370
Sikkim,9,11,11,16,20,35,40,46,57,56,61,73,81,90,101,151,166,188,254,245,259,314,348,406,479,501,547,663,820,1010,1060,1450,1390,1690,2370,2010
Tamil Nadu,506,605,798,931,972,1444,1559,1735,1921,2339,2985,3433,3929,4251,4550,5145,6210,6654,8153,8862,9618,9190,9662,11586,13617,14297,16921,19994,26890,29350,36490,41900,46750,55120,68280,70980
Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,46440,51130
Tripura,49,40,47,61,70,115,133,170,216,227,264,286,261,324,383,429,517,594,673,776,896,968,974,963,1121,1121,1206,1399,1680,2180,2160,2690,2870,3250,5970,7210
Uttar Pradesh,821,824,1015,1131,1333,1861,2075,2337,2919,3610,4711,4443,5573,5212,6031,6466,7693,9080,10477,11669,12135,12279,13103,12999,16932,20141,24032,30006,39510,47250,50670,59720,67440,76560,102240,116170
Uttarakhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,355,1320,1708,2027,2327,2781,3226,3726,4190,5620,5950,7380,7970,9380,15340,15200
West Bengal,592,691,843,856,1115,1202,1500,1652,1852,2092,2824,2716,2747,3323,3827,4097,4991,5180,6626,9338,9623,9581,8463,9008,9732,11445,13142,16192,19470,27700,30560,35610,40100,45580,59220,62630
Delhi,–,–,–,–,–,–,–,–,–,–,–,–,–,386,1155,1365,1714,2043,2245,2461,3000,2989,3492,3465,4267,4566,5139,7353,8920,10510,10810,13210,14570,15430,17780,22230
Puducherry,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,797,800,927,1060,1370,1560,1720,1410,1870,2330,2730
