Start,End,Open,High,Low,Close,Volume,Market Cap
2022-03-03,2022-03-04,2963.7644124423277,2980.4524804570133,2805.6532580317325,2853.323398720905,22524687192.30662,347007626162.08984
2022-03-02,2022-03-03,2983.4188,3049.8164664259634,2929.507475357196,2954.2317826499607,28155179555.555557,357084750977.1049
2022-03-01,2022-03-02,2931.7687,3042.9525,2885.6934,2980.1923,30933609287.11111,353270922981.212
2022-02-28,2022-03-01,2635.7606113303723,2946.428757127266,2593.76538008472,2938.1166,26591377329.77778,325795621466.4714
2022-02-27,2022-02-28,2792.1015,2846.128517380177,2594.959903480599,2635.913672830367,18528048650.666668,328540758488.97565
2022-02-26,2022-02-27,2770.6317160899357,2857.132943589112,2754.0076,2784.8057,23993767608.88889,335238761873.464
2022-02-25,2022-02-26,2601.7917163732363,2830.4895211715907,2581.2175846233167,2770.4928436922296,30941965461.333332,319312526345.9189
2022-02-24,2022-02-25,2591.126219032511,2694.7542,2313.8222599903347,2598.893303367795,28182890062.22222,295324428973.95135
2022-02-23,2022-02-24,2640.4628,2754.0263,2592.3175800479576,2600.9274870528466,20045765536,320074749865.05334
2022-02-22,2022-02-23,2579.544872239021,2654.1101,2512.577566615353,2644.6942,25153610176,309418376752.9529
2022-02-21,2022-02-22,2634.330810098991,2755.1098,2573.7750744871046,2573.7750744871046,18522682040.88889,321624812686.75665
2022-02-20,2022-02-21,2768.92731536824,2772.2785,2591.45932662952,2637.055031045848,14951276362.666666,318859485558.19794
2022-02-19,2022-02-20,2788.0207213680565,2833.302294590167,2711.4276662387824,2769.437357004013,18514676433.77778,332572025025.074
2022-02-18,2022-02-19,2891.9721,2942.3693,2764.8907,2790.531296327876,21438118112.780487,342866915255.592
2022-02-17,2022-02-18,3126.4848,3155.2644,2862.955551854376,2884.361,20353951651.555557,362121637009.7012
2022-02-16,2022-02-17,3181.9594,3187.5958,3055.8564,3129.9013,18818804646.801395,374253837596.3009
2022-02-15,2022-02-16,2938.56860754374,3185.112738060397,2915.7199127670942,3179.9854,19834285770.666668,367647600334.9032
2022-02-14,2022-02-15,2877.0377,2958.758714162838,2848.0359491373133,2935.178633064014,15487090307.14386,346427321956.02686
2022-02-13,2022-02-14,2920.9481,2950.0177,2853.9692283100067,2890.3408,15399377852.444445,348594645958.8171
2022-02-12,2022-02-13,2934.972,2980.7219424326304,2870.1907,2911.9484,20355416256,350353080331.5145
2022-02-11,2022-02-12,3074.640969375972,3130.099367923384,2888.4834,2933.0463,25198476152.88889,365320155841.7372
2022-02-10,2022-02-11,3246.8971,3275.1346,3068.224441215285,3076.2148341122183,20885131431.11111,381069125565.9786
2022-02-09,2022-02-10,3118.414183292349,3264.4265,3061.0133,3239.4858,20890519217.77778,377153184923.3546
2022-02-08,2022-02-09,3140.523216555693,3224.5617983763746,3033.627624767584,3122.9978020113185,22725888988.444443,371952319266.3997
2022-02-07,2022-02-08,3055.8824168462534,3186.4624,2994.4055010798493,3148.5198301236724,17695866744.88889,369924442545.22095
2022-02-06,2022-02-07,3020.0692,3059.32454864352,2971.9124,3051.908917354185,14038595022.222221,359407051031.431
2022-02-05,2022-02-06,2991.6681050501697,3058.2666,2967.5512,3018.1714,24305494229.333332,360046729863.41
2022-02-04,2022-02-05,2690.9014,2987.9202559383475,2677.474286174202,2987.9202559383475,21792889333.333332,338456825805.1123
2022-02-03,2022-02-04,2681.9238,2714.3062,2588.173383003928,2672.9835,20149039189.333332,316045646316.3745
