Index Name,Date,Open,High,Low,Close
NIFTY 50,28-Feb-03,1053.65,1068.65,1053.65,1063.4
NIFTY 50,03-Mar-03,1063.55,1070.85,1057.55,1058.85
NIFTY 50,04-Mar-03,1058.7,1058.7,1045.2,1046.6
NIFTY 50,05-Mar-03,1046.55,1046.55,1029.9,1040.7
NIFTY 50,06-Mar-03,1040.3,1040.75,1029.55,1031.25
NIFTY 50,07-Mar-03,1031.05,1031.05,1014.3,1017.1
NIFTY 50,10-Mar-03,1017.1,1021.5,1004.35,1006.7
NIFTY 50,11-Mar-03,1006.65,1016.7,998.95,1014.55
NIFTY 50,12-Mar-03,1014.25,1017.75,1000.05,1001.7
NIFTY 50,13-Mar-03,1001.5,1006.4,994.2,999.65
NIFTY 50,17-Mar-03,999.7,1000.85,982.7,993
NIFTY 50,19-Mar-03,993.35,1011.45,992.9,1003.9
NIFTY 50,20-Mar-03,1003.45,1028.9,1001.75,1025.25
NIFTY 50,21-Mar-03,1025.55,1033.7,1022.05,1030.55
NIFTY 50,22-Mar-03,1030.6,1039.8,1030.6,1037.15
NIFTY 50,24-Mar-03,1037.15,1038.55,1011.95,1013.9
NIFTY 50,25-Mar-03,1013.5,1013.5,998.4,1011.3
NIFTY 50,26-Mar-03,1011.55,1019.9,1004.85,1013.85
NIFTY 50,27-Mar-03,1013.9,1013.9,999.6,1002.7
NIFTY 50,28-Mar-03,1002.8,1006.3,996.75,1000.6
NIFTY 50,31-Mar-03,1000.6,1000.6,974.1,978.2
NIFTY 50,01-Apr-03,977.4,992.05,973.5,984.3
NIFTY 50,02-Apr-03,984.45,1002.1,984.45,999.4
NIFTY 50,03-Apr-03,999.55,1010.75,999.55,1009.15
NIFTY 50,04-Apr-03,1009.15,1018.25,1002.75,1016.95
NIFTY 50,07-Apr-03,1017.05,1033.45,1017.05,1031.5
NIFTY 50,08-Apr-03,1032,1032,1016.6,1018.1
NIFTY 50,09-Apr-03,1018,1018,1002.3,1004.85
NIFTY 50,10-Apr-03,1003.8,1003.8,958.2,962.2
NIFTY 50,11-Apr-03,958.9,965.15,935.7,949.8
NIFTY 50,15-Apr-03,951.8,964.2,938.8,951.2
NIFTY 50,16-Apr-03,950.65,961.75,949,958.65
NIFTY 50,17-Apr-03,958.65,958.65,936.7,940.7
NIFTY 50,21-Apr-03,941.5,949.7,941.5,947.2
NIFTY 50,22-Apr-03,947.1,951.4,937.85,943.5
NIFTY 50,23-Apr-03,943.75,951.2,931.5,934.2
NIFTY 50,24-Apr-03,934.2,943.15,927.8,929.7
NIFTY 50,25-Apr-03,929.45,931.35,921.1,924.3
NIFTY 50,28-Apr-03,922.85,931.05,920,929.5
NIFTY 50,29-Apr-03,929.75,936.9,929.75,932.3
NIFTY 50,30-Apr-03,935.25,935.55,929.85,934.05
NIFTY 50,02-May-03,930.9,940.2,930.8,938.3
NIFTY 50,05-May-03,937.45,948.95,936.65,945.4
NIFTY 50,06-May-03,945.85,955,943.2,951.85
NIFTY 50,07-May-03,950.4,956.65,948.9,950.15
NIFTY 50,08-May-03,950.15,951.3,938.7,941.55
NIFTY 50,09-May-03,941.6,941.65,935.8,937.85
NIFTY 50,12-May-03,938.5,944.45,934,936
