,date,instrument,ROE,Free_Cash_Flow,PE_TTM,market_cap,amount,open,close
223749,2022/7/14,002709.SZA,18.9366,-1529103232,34.03792,1.16389E+11,3017609670,842.2334,848.97235
223750,2022/7/15,002709.SZA,18.9366,-1529103232,33.26676,1.13752E+11,2638868196,852.2015,829.73816
223751,2022/7/18,002709.SZA,18.9366,-1529103232,33.244247,1.13675E+11,2498563432,846.44525,829.1766
223752,2022/7/19,002709.SZA,18.9366,-1529103232,32.71513,1.11866E+11,2326329843,829.317,815.97943
223753,2022/7/20,002709.SZA,18.9366,-1529103232,32.35488,1.10634E+11,2043725146,821.45483,806.9941
223754,2022/7/21,002709.SZA,18.9366,-1529103232,31.572466,1.07959E+11,1947965924,801.65906,787.47906
223755,2022/7/22,002709.SZA,18.9366,-1529103232,31.133411,1.06458E+11,2153328292,794.6393,776.52826
223756,2022/7/25,002709.SZA,18.9366,-1529103232,30.711245,1.05014E+11,1756622880,776.52826,765.99854
223757,2022/7/26,002709.SZA,18.9366,-1529103232,30.99832,1.05996E+11,1988339007,763.47144,773.15875
223758,2022/7/27,002709.SZA,18.9366,-1529103232,31.223475,1.06766E+11,1628971817,773.15875,778.77454
223759,2022/7/28,002709.SZA,18.9366,-1529103232,30.32848,1.03705E+11,2243565686,779.8977,756.45166
223760,2022/7/29,002709.SZA,18.9366,-1529103232,29.484146,1.00818E+11,1913330582,756.03046,735.39233
223761,2022/8/1,002709.SZA,18.9366,-1529103232,30.958916,1.05861E+11,2723121773,730.05725,772.17596
223762,2022/8/2,002709.SZA,18.9366,-1529103232,29.97386,1.02493E+11,2389712560,758.1364,747.60675
223763,2022/8/3,002709.SZA,18.9366,-1529103232,29.028206,99259144619,2205387861,758.2768,724.02026
223764,2022/8/4,002709.SZA,18.9366,-1529103232,29.152042,99682588711,1673877531,728.09174,727.10895
223765,2022/8/5,002709.SZA,18.9366,-1529103232,29.641756,1.01357E+11,1652372867,729.9169,739.32336
223766,2022/8/8,002709.SZA,18.9366,-1529103232,29.456001,1.00722E+11,1243751165,730.1977,734.6903
223767,2022/8/9,002709.SZA,18.9366,-1529103232,30.407286,1.03975E+11,2849427369,734.26917,758.4172
223768,2022/8/10,002709.SZA,18.9366,-1529103232,29.540436,1.01011E+11,1974373968,757.99603,736.79626
223769,2022/8/11,002709.SZA,18.9366,-1529103232,31.634384,1.08171E+11,3826482221,737.6386,789.02344
223770,2022/8/12,002709.SZA,18.9366,-1529103232,31.45426,1.07555E+11,3155149688,788.04065,784.53076
223771,2022/8/15,002709.SZA,18.9366,-1529103232,32.478718,1.11058E+11,2716025321,773.5799,810.08276
223772,2022/8/16,002709.SZA,18.9366,-1529103232,32.52375,1.11212E+11,2014143817,814.15424,811.20593
223773,2022/8/17,002709.SZA,18.9366,-1529103232,31.29665,1.07016E+11,2676146386,807.2749,780.59973
223774,2022/8/18,002709.SZA,18.9366,-1529103232,30.84071,1.05457E+11,2046702543,780.03815,769.22766
223775,2022/8/19,002709.SZA,18.9366,-1529103232,29.129526,99605598876,2667183492,769.36804,726.54736
223776,2022/8/22,002709.SZA,18.9366,-1529103232,30.356625,1.03802E+11,2229065588,716.2985,757.1536
223777,2022/8/23,002709.SZA,18.9366,-1529103232,30.683102,1.04918E+11,2099272385,752.52057,765.2966
223778,2022/8/24,002709.SZA,18.9366,-1529103232,29.523548,1.00953E+11,1710133607,765.2966,736.37506
223779,2022/8/25,002709.SZA,35.3817,1460257664,22.611208,97950317426,1854337954,740.72736,714.4734
223780,2022/8/26,002709.SZA,35.3817,1460257664,22.340176,96776222444,1609408674,718.12366,705.90924
223781,2022/8/29,002709.SZA,35.3817,1460257664,21.94029,95043951159,1422041477,694.9584,693.2736
223782,2022/8/30,002709.SZA,35.3817,1460257664,22.215767,96237293600,1145091965,693.5544,701.97815
223783,2022/8/31,002709.SZA,35.3817,1460257664,21.127193,91521666214,1721228292,699.59143,667.58124
223784,2022/9/1,002709.SZA,35.3817,1460257664,20.873934,90424561067,1026281452,667.862,659.5787
