"Date","Price","Open","High","Low","Vol.","Change %"
"11/15/2015","66.058","66.079","66.325","65.853","","0.00%"
"11/08/2015","66.059","66.420","66.500","66.005","","-0.12%"
"11/01/2015","66.140","65.413","66.140","65.330","","1.10%"
"10/25/2015","65.423","64.964","65.470","64.788","","0.82%"
"10/18/2015","64.892","64.703","65.230","64.681","","0.29%"
"10/11/2015","64.703","64.779","65.192","64.639","","-0.12%"
"10/04/2015","64.780","65.155","65.440","64.689","","-0.89%"
"09/27/2015","65.364","66.160","66.441","65.358","","-1.22%"
"09/20/2015","66.170","65.869","66.380","65.560","","0.46%"
"09/13/2015","65.868","66.242","66.520","65.670","","-0.56%"
"09/06/2015","66.241","66.726","66.913","66.238","","-0.67%"
"08/30/2015","66.685","66.150","66.785","66.040","","0.81%"
"08/23/2015","66.150","66.390","66.910","65.865","","0.18%"
"08/16/2015","66.034","65.097","66.045","65.061","","1.39%"
"08/09/2015","65.129","63.744","65.380","63.707","","2.18%"
"08/02/2015","63.739","63.996","64.190","63.650","","-0.39%"
"07/26/2015","63.988","64.160","64.270","63.740","","-0.18%"
"07/19/2015","64.106","63.483","64.180","63.470","","0.97%"
"07/12/2015","63.492","63.359","63.610","63.265","","0.21%"
"07/05/2015","63.358","63.427","63.660","63.254","","-0.08%"
"06/28/2015","63.411","63.523","63.950","63.296","","-0.06%"
"06/21/2015","63.452","63.532","63.710","63.440","","-0.08%"
"06/14/2015","63.500","64.100","64.330","63.420","","-0.94%"
"06/07/2015","64.100","64.111","64.200","63.750","","0.52%"
"05/31/2015","63.770","63.733","64.270","63.530","","0.04%"
"05/24/2015","63.743","63.511","64.170","63.490","","0.40%"
"05/17/2015","63.490","63.442","63.900","63.425","","0.08%"
"05/10/2015","63.440","63.705","64.390","63.347","","-0.43%"
"05/03/2015","63.711","63.692","64.290","63.310","","-0.01%"
"04/26/2015","63.719","63.747","63.780","63.027","","0.09%"
"04/19/2015","63.662","62.554","63.683","62.500","","1.78%"
"04/12/2015","62.550","62.184","62.575","62.180","","0.44%"
"04/05/2015","62.276","61.930","62.430","61.930","","0.51%"
"03/29/2015","61.960","62.534","62.700","61.936","","-0.90%"
"03/22/2015","62.523","62.410","62.851","62.140","","0.18%"
"03/15/2015","62.410","63.094","63.145","62.375","","-1.07%"
"03/08/2015","63.083","62.473","63.126","62.398","","1.00%"
"03/01/2015","62.460","61.712","62.463","61.659","","1.30%"
"02/22/2015","61.659","62.270","62.360","61.658","","-0.72%"
"02/15/2015","62.109","62.114","62.361","62.005","","0.05%"
"02/08/2015","62.076","62.058","62.540","61.930","","0.17%"
"02/01/2015","61.970","61.999","62.080","61.560","","-0.08%"
"01/25/2015","62.020","61.510","62.035","61.265","","0.94%"
"01/18/2015","61.440","61.650","61.910","61.373","","-0.70%"
"01/11/2015","61.870","62.350","62.350","61.485","","-0.78%"
"01/04/2015","62.355","63.440","63.630","62.300","","-1.47%"
"12/28/2014","63.285","63.675","63.805","63.045","","-0.44%"
"12/21/2014","63.562","63.245","63.690","63.135","","0.50%"
"12/14/2014","63.245","62.205","63.885","62.205","","1.15%"
"12/07/2014","62.525","61.980","62.535","61.770","","0.98%"
"11/30/2014","61.918","62.065","62.245","61.780","","-0.47%"
"11/23/2014","62.210","61.705","62.250","61.665","","0.72%"
"11/16/2014","61.767","61.625","62.225","61.625","","0.08%"
"11/09/2014","61.715","61.460","61.860","61.370","","0.32%"
"11/02/2014","61.520","61.515","61.700","61.300","","0.19%"
"10/26/2014","61.405","61.185","61.615","61.162","","0.38%"
"10/19/2014","61.170","61.310","61.380","61.010","","-0.32%"
"10/12/2014","61.365","61.285","61.950","60.935","","0.13%"
"10/05/2014","61.285","61.465","61.530","60.910","","-0.42%"
"09/28/2014","61.545","61.150","61.960","61.150","","0.65%"
"09/21/2014","61.145","60.785","61.625","60.745","","0.47%"
"09/14/2014","60.860","60.660","61.215","60.660","","0.34%"
"09/07/2014","60.655","60.295","61.040","60.203","","0.43%"
"08/31/2014","60.395","60.510","60.695","60.335","","-0.21%"
"08/24/2014","60.520","60.565","60.707","60.360","","0.08%"
"08/17/2014","60.470","60.775","60.885","60.365","","-0.51%"
"08/10/2014","60.780","61.095","61.315","60.775","","-0.60%"
"08/03/2014","61.145","61.205","61.745","60.695","","-0.11%"
"07/27/2014","61.215","60.060","61.225","60.060","","1.92%"
"07/20/2014","60.060","60.295","60.350","59.935","","-0.37%"
"07/13/2014","60.285","59.960","60.455","59.905","","0.32%"
"07/06/2014","60.095","59.815","60.315","59.585","","0.62%"
"06/29/2014","59.725","60.035","60.270","59.530","","-0.53%"
"06/22/2014","60.045","60.065","60.400","60.015","","-0.22%"
"06/15/2014","60.175","59.715","60.545","59.715","","0.78%"
"06/08/2014","59.710","59.110","59.810","58.980","","0.90%"
"06/01/2014","59.175","59.105","59.455","59.065","","-0.03%"
"05/25/2014","59.195","58.455","59.230","58.420","","1.14%"
"05/18/2014","58.525","58.555","58.875","58.255","","-0.10%"
"05/11/2014","58.585","59.915","60.125","58.585","","-2.30%"
"05/04/2014","59.965","60.085","60.245","59.870","","-0.37%"
"04/27/2014","60.185","60.615","60.750","60.105","","-0.76%"
"04/20/2014","60.645","60.265","61.195","60.265","","0.58%"
"04/13/2014","60.295","60.255","60.505","60.185","","0.19%"
"04/06/2014","60.180","59.905","60.345","59.765","","0.16%"
"03/30/2014","60.085","59.905","60.398","59.575","","0.33%"
"03/23/2014","59.890","60.860","60.860","59.690","","-1.66%"
"03/16/2014","60.900","61.125","61.385","60.865","","-0.50%"
"03/09/2014","61.205","61.255","61.555","60.605","","0.20%"
"03/02/2014","61.085","61.955","62.145","60.945","","-1.15%"
"02/23/2014","61.795","62.105","62.160","61.755","","-0.56%"
"02/16/2014","62.140","61.970","62.450","61.830","","0.46%"
"02/09/2014","61.855","62.365","62.495","61.845","","-0.72%"
"02/02/2014","62.305","62.705","62.835","62.250","","-0.61%"
"01/26/2014","62.685","62.885","63.325","62.105","","-0.02%"
"01/19/2014","62.695","61.685","62.745","61.465","","1.87%"
"01/12/2014","61.545","61.605","61.715","61.320","","-0.58%"
"01/05/2014","61.907","62.355","62.475","61.825","","-0.46%"
"12/29/2013","62.190","61.998","62.565","61.718","","0.40%"
"12/22/2013","61.940","62.113","62.175","61.724","","-0.10%"
"12/15/2013","62.000","62.065","62.495","61.630","","-0.31%"
"12/08/2013","62.195","60.840","62.297","60.840","","1.24%"
"12/01/2013","61.435","62.355","62.538","61.273","","-1.54%"
"11/24/2013","62.399","62.660","62.700","62.150","","-0.53%"
"11/17/2013","62.733","62.825","63.095","61.880","","-0.39%"
"11/10/2013","62.980","62.990","63.910","62.925","","0.80%"
"11/03/2013","62.480","61.745","62.834","61.615","","1.18%"
"10/27/2013","61.750","61.420","62.025","61.085","","0.46%"
"10/20/2013","61.465","61.355","61.845","61.085","","0.37%"
"10/13/2013","61.240","61.160","61.955","60.940","","0.36%"
"10/06/2013","61.020","61.510","62.310","60.960","","-0.68%"
"09/29/2013","61.435","62.985","63.035","61.255","","-1.73%"
"09/22/2013","62.515","62.265","62.920","61.773","","0.45%"
"09/15/2013","62.235","62.705","63.635","61.650","","-1.81%"
"09/08/2013","63.380","64.415","64.555","62.925","","-2.86%"
"09/01/2013","65.245","66.105","68.605","65.005","","-0.70%"
"08/25/2013","65.705","63.695","68.805","63.643","","3.96%"
"08/18/2013","63.205","62.365","65.575","62.240","","2.50%"
"08/11/2013","61.665","60.495","62.015","60.495","","1.62%"
"08/04/2013","60.680","61.023","61.868","60.680","","-0.70%"
"07/28/2013","61.105","58.955","61.200","58.955","","3.49%"
"07/21/2013","59.046","59.312","59.882","58.706","","-0.50%"
"07/14/2013","59.340","59.940","60.085","59.050","","-0.92%"
"07/07/2013","59.891","60.930","61.220","59.330","","-0.56%"
"06/30/2013","60.230","59.475","60.600","58.971","","1.17%"
"06/23/2013","59.533","59.595","60.770","59.210","","0.44%"
"06/16/2013","59.275","57.695","59.980","57.555","","3.08%"
"06/09/2013","57.505","57.265","58.995","57.172","","0.77%"
"06/02/2013","57.065","56.515","57.135","56.315","","0.86%"
"05/26/2013","56.580","55.760","56.770","55.530","","1.36%"
"05/19/2013","55.820","55.060","56.020","54.950","","1.69%"
"05/12/2013","54.895","54.913","55.035","54.550","","0.16%"
"05/05/2013","54.810","53.810","54.900","53.780","","1.86%"
"04/28/2013","53.810","54.408","54.408","53.640","","-1.05%"
"04/21/2013","54.380","53.925","54.445","53.925","","0.82%"
"04/14/2013","53.940","54.608","54.805","53.770","","-1.06%"
"04/07/2013","54.520","54.798","54.850","54.260","","-0.53%"
"03/31/2013","54.810","54.275","54.955","54.175","","0.97%"
"03/24/2013","54.285","54.355","54.515","54.055","","-0.12%"
"03/17/2013","54.350","54.010","54.570","53.900","","0.59%"
"03/10/2013","54.030","54.330","54.531","53.980","","-0.59%"
"03/03/2013","54.350","54.890","55.140","54.275","","-1.01%"
"02/24/2013","54.905","54.265","54.945","53.605","","1.15%"
"02/17/2013","54.280","54.215","54.625","54.030","","-0.08%"
"02/10/2013","54.325","53.515","54.355","53.515","","1.36%"
"02/03/2013","53.595","53.165","53.685","52.895","","0.80%"
"01/27/2013","53.170","53.665","54.055","53.075","","-1.17%"
"01/20/2013","53.800","53.725","53.970","53.385","","0.10%"
"01/13/2013","53.745","54.770","54.900","53.715","","-2.06%"
"01/06/2013","54.875","55.040","55.395","54.360","","-0.12%"
"12/30/2012","54.940","54.810","55.185","54.170","","0.33%"
"12/23/2012","54.760","55.035","55.215","54.685","","-0.55%"
"12/16/2012","55.065","54.375","55.285","54.285","","1.14%"
"12/09/2012","54.445","54.315","54.695","54.115","","0.18%"
"12/02/2012","54.345","54.365","54.975","54.030","","0.15%"
"11/25/2012","54.265","55.455","55.885","54.230","","-2.14%"
"11/18/2012","55.450","55.160","55.610","54.790","","0.52%"
"11/11/2012","55.165","54.585","55.195","54.585","","1.04%"
"11/04/2012","54.595","53.885","54.808","53.765","","1.45%"
"10/28/2012","53.815","53.855","54.209","53.602","","0.49%"
"10/21/2012","53.555","53.825","53.895","53.340","","-0.54%"
"10/14/2012","53.845","52.910","53.995","52.675","","1.96%"
"10/07/2012","52.810","51.885","53.185","51.745","","1.72%"
"09/30/2012","51.915","52.835","53.015","51.365","","-1.78%"
"09/23/2012","52.855","53.410","53.635","52.505","","-0.96%"
"09/16/2012","53.365","53.765","54.420","53.330","","-1.73%"
"09/09/2012","54.305","55.305","55.545","54.295","","-1.91%"
"09/02/2012","55.365","55.528","56.030","55.275","","-0.29%"
"08/26/2012","55.525","55.420","55.885","55.345","","0.04%"
"08/19/2012","55.505","55.665","55.685","55.130","","-0.41%"
"08/12/2012","55.735","55.341","56.040","55.188","","0.81%"
"08/05/2012","55.285","55.485","55.655","54.960","","-0.84%"
"07/29/2012","55.755","55.245","56.200","55.135","","0.90%"
"07/22/2012","55.255","55.315","56.445","55.235","","-0.13%"
"07/15/2012","55.325","54.905","55.550","54.767","","0.33%"
"07/08/2012","55.145","55.928","56.075","55.105","","-0.48%"
"07/01/2012","55.410","55.490","55.920","54.180","","-0.18%"
"06/24/2012","55.510","56.730","57.250","55.510","","-2.83%"
"06/17/2012","57.125","55.325","57.330","55.265","","3.12%"
"06/10/2012","55.395","55.130","56.080","55.020","","-0.05%"
"06/03/2012","55.425","55.510","55.920","54.830","","-0.22%"
"05/27/2012","55.545","55.300","56.530","55.020","","0.31%"
"05/20/2012","55.375","54.460","56.392","54.440","","1.75%"
"05/13/2012","54.425","53.665","54.915","53.535","","1.47%"
"05/06/2012","53.635","53.415","53.915","52.675","","0.30%"
"04/29/2012","53.475","52.515","53.925","52.395","","1.77%"
"04/22/2012","52.545","52.090","52.870","51.945","","0.90%"
"04/15/2012","52.075","51.530","52.205","51.335","","1.02%"
"04/08/2012","51.550","51.150","51.650","51.030","","0.85%"
"04/01/2012","51.115","50.845","51.235","50.514","","0.47%"
"03/25/2012","50.875","51.175","51.490","50.565","","-0.59%"
"03/18/2012","51.175","50.175","51.295","50.072","","2.06%"
"03/11/2012","50.140","49.725","50.500","49.725","","0.76%"
"03/04/2012","49.760","49.522","50.763","49.480","","0.47%"
"02/26/2012","49.525","49.015","49.605","48.835","","1.04%"
"02/19/2012","49.015","49.335","49.335","48.940","","-0.63%"
"02/12/2012","49.325","49.365","49.555","49.105","","-0.07%"
"02/05/2012","49.360","48.610","49.770","48.610","","1.54%"
"01/29/2012","48.610","49.360","49.815","48.610","","-1.59%"
"01/22/2012","49.395","50.415","50.415","49.305","","-1.66%"
"01/15/2012","50.230","51.442","51.805","50.080","","-2.35%"
"01/08/2012","51.440","52.682","52.885","51.310","","-2.35%"
"01/01/2012","52.680","53.265","53.350","52.615","","-0.63%"
"12/25/2011","53.015","52.775","53.495","52.665","","0.43%"
"12/18/2011","52.790","52.480","53.250","52.400","","0.55%"
"12/11/2011","52.500","52.180","54.330","52.130","","1.20%"
"12/04/2011","51.875","51.065","52.355","50.945","","1.50%"
"11/27/2011","51.110","52.130","52.435","51.110","","-1.98%"
"11/20/2011","52.140","51.180","52.735","51.100","","1.77%"
"11/13/2011","51.235","49.965","51.405","49.865","","2.46%"
"11/06/2011","50.005","49.105","50.370","48.935","","2.05%"
"10/30/2011","49.000","48.760","49.567","48.540","","0.78%"
"10/23/2011","48.620","49.810","50.020","48.620","","-2.47%"
"10/16/2011","49.850","48.940","50.330","48.690","","1.69%"
"10/09/2011","49.020","49.020","49.485","48.760","","-0.04%"
"10/02/2011","49.040","48.970","49.580","48.900","","0.04%"
"09/25/2011","49.020","49.350","49.785","48.660","","-0.67%"
"09/18/2011","49.350","47.330","49.895","47.250","","4.27%"
"09/11/2011","47.330","46.450","48.010","46.350","","1.81%"
"09/04/2011","46.490","45.760","46.670","45.660","","1.54%"
"08/28/2011","45.785","46.055","46.145","45.655","","-0.81%"
"08/21/2011","46.160","45.755","46.225","45.500","","1.07%"
"08/14/2011","45.670","45.300","45.758","45.110","","0.59%"
"08/07/2011","45.400","44.650","45.460","44.580","","1.52%"
"07/31/2011","44.720","44.110","44.855","43.970","","1.15%"
"07/24/2011","44.210","44.280","44.447","43.860","","-0.32%"
"07/17/2011","44.350","44.440","44.670","44.270","","-0.37%"
"07/10/2011","44.515","44.345","44.765","44.295","","0.30%"
"07/03/2011","44.380","44.550","44.550","44.200","","-0.56%"
"06/26/2011","44.630","44.910","45.150","44.500","","-0.81%"
"06/19/2011","44.995","44.735","45.060","44.625","","0.44%"
"06/12/2011","44.800","44.690","44.975","44.550","","0.16%"
"06/05/2011","44.730","44.750","44.835","44.530","","-0.22%"
"05/29/2011","44.830","45.110","45.148","44.700","","-0.77%"
"05/22/2011","45.180","44.910","45.438","44.900","","0.51%"
"05/15/2011","44.950","44.830","45.185","44.750","","0.19%"
"05/08/2011","44.865","44.675","45.055","44.535","","0.30%"
"05/01/2011","44.730","44.220","44.910","44.150","","1.07%"
"04/24/2011","44.255","44.197","44.633","44.145","","0.15%"
"04/17/2011","44.190","44.230","44.705","44.120","","-0.19%"
"04/10/2011","44.275","44.045","44.612","43.907","","0.44%"
"04/03/2011","44.080","44.420","44.487","44.000","","-0.71%"
"03/27/2011","44.395","44.665","44.922","44.395","","-0.69%"
"03/20/2011","44.705","44.955","45.120","44.525","","-0.69%"
"03/13/2011","45.015","45.165","45.377","44.955","","-0.13%"
"03/06/2011","45.075","44.865","45.300","44.825","","0.37%"
"02/27/2011","44.910","45.240","45.330","44.820","","-0.81%"
"02/20/2011","45.275","45.085","45.517","44.885","","0.35%"
"02/13/2011","45.115","45.495","45.615","45.135","","-1.10%"
"02/06/2011","45.615","45.515","45.795","45.075","","0.09%"
"01/30/2011","45.575","45.815","46.025","45.365","","-0.75%"
"01/23/2011","45.920","45.560","45.920","45.420","","0.64%"
"01/16/2011","45.630","45.290","45.840","45.180","","0.58%"
"01/09/2011","45.365","45.285","45.565","44.905","","0.02%"
"01/02/2011","45.355","44.625","45.535","44.525","","1.44%"
"12/26/2010","44.713","44.983","45.293","44.662","","-0.70%"
"12/19/2010","45.030","45.160","45.680","44.920","","-0.32%"
"12/12/2010","45.175","44.945","45.635","44.855","","0.43%"
"12/05/2010","44.980","44.830","45.370","44.590","","0.14%"
"11/28/2010","44.915","45.765","46.125","44.905","","-1.99%"
"11/21/2010","45.825","45.210","45.910","45.030","","1.21%"
"11/14/2010","45.275","44.725","45.595","44.585","","1.09%"
"11/07/2010","44.785","43.875","44.885","43.815","","1.96%"
"10/31/2010","43.925","44.295","44.505","43.865","","-0.90%"
"10/24/2010","44.325","44.455","44.645","44.195","","-0.43%"
"10/17/2010","44.515","44.055","44.615","44.015","","1.00%"
"10/10/2010","44.075","44.365","44.790","43.995","","-0.77%"
"10/03/2010","44.415","44.345","44.810","44.075","","0.09%"
"09/26/2010","44.375","45.085","45.310","44.365","","-1.63%"
"09/19/2010","45.110","45.800","45.890","45.110","","-1.62%"
"09/12/2010","45.855","46.235","46.480","45.785","","-0.93%"
"09/05/2010","46.285","46.415","46.930","46.175","","-0.43%"
"08/29/2010","46.485","46.745","47.170","46.395","","-0.69%"
"08/22/2010","46.810","46.575","47.040","46.285","","0.42%"
"08/15/2010","46.615","46.555","46.905","46.185","","-0.02%"
"08/08/2010","46.625","45.905","47.055","45.755","","1.39%"
"08/01/2010","45.985","46.345","46.345","45.735","","-0.91%"
"07/25/2010","46.405","46.845","47.055","46.315","","-1.09%"
"07/18/2010","46.915","46.625","47.435","46.625","","0.41%"
"07/11/2010","46.725","46.575","46.970","46.245","","0.13%"
"07/04/2010","46.665","46.465","47.155","46.315","","0.17%"
"06/27/2010","46.585","46.035","46.815","45.825","","1.11%"
"06/20/2010","46.075","45.965","46.655","45.515","","0.09%"
"06/13/2010","46.035","46.745","46.785","45.925","","-1.58%"
"06/06/2010","46.775","46.855","47.475","46.365","","-0.23%"
"05/30/2010","46.885","46.245","47.295","46.195","","1.21%"
"05/23/2010","46.325","46.975","47.765","46.325","","-1.28%"
"05/16/2010","46.925","45.145","47.355","45.065","","3.64%"
"05/09/2010","45.275","45.405","45.405","44.685","","-0.64%"
"05/02/2010","45.565","44.215","45.750","44.195","","2.91%"
"04/25/2010","44.275","44.305","44.775","44.165","","-0.09%"
"04/18/2010","44.315","44.245","44.765","44.205","","0.09%"
"04/11/2010","44.275","44.175","44.705","44.075","","0.23%"
"04/04/2010","44.175","44.735","44.805","44.165","","-1.32%"
"03/28/2010","44.765","45.065","45.205","44.625","","-0.82%"
"03/21/2010","45.135","45.525","45.725","45.125","","-0.70%"
"03/14/2010","45.455","45.465","45.700","45.235","","-0.02%"
"03/07/2010","45.465","45.465","45.665","45.265","","0.02%"
"02/28/2010","45.455","46.105","46.167","45.455","","-1.41%"
"02/21/2010","46.105","46.135","46.535","45.955","","-0.14%"
"02/14/2010","46.170","46.320","46.510","45.740","","-0.55%"
"02/07/2010","46.425","46.555","46.890","46.185","","-0.47%"
"01/31/2010","46.645","46.175","46.775","45.785","","1.13%"
"01/24/2010","46.125","46.175","46.555","45.865","","-0.22%"
