"month","year","month_number","start_date","end_date","bank_name","no_atms_on_site","no_atms_off_site","no_pos_on_line","no_pos_off_line","no_credit_cards","no_credit_card_atm_txn","no_credit_card_pos_txn","no_credit_card_atm_txn_value_in_mn","no_credit_card_pos_txn_value_in_mn","no_debit_cards","no_debit_card_atm_txn","no_debit_card_pos_txn","no_debit_card_atm_txn_value_in_mn","no_debit_card_pos_txn_value_in_mn"
"October","2011",10,2011-10-01,2011-10-31,"United  Bank of India",271,361,0,0,0,0,0,0,0,1216069,2429364,81649,6044.1,256.3
"October","2011",10,2011-10-01,2011-10-31,"Vijaya  Bank",524,118,1215,0,40786,3984,52072,21.3577,172.112,1692124,606729,125202,2061.7,256.8
"October","2011",10,2011-10-01,2011-10-31,"State Bank of India",11894,9731,0,0,2112399,22766,3422634,103.509,7396.86,83188000,165870000,5522000,436933,10237.1
"October","2011",10,2011-10-01,2011-10-31,"State Bank of Bikaner & Jaipur",611,432,0,0,0,0,0,0,0,3978538,7166119,81263,23049.5,142.7
"October","2011",10,2011-10-01,2011-10-31,"State Bank of Hyderabad",997,273,0,0,0,0,0,0,0,5370678,10705831,171447,25596.9,476.8
"October","2011",10,2011-10-01,2011-10-31,"State Bank of Mysore",557,220,0,0,0,0,0,0,0,2233695,2964388,104002,10272,271.3
"October","2011",10,2011-10-01,2011-10-31,"State Bank of Patiala",624,201,0,0,0,0,0,0,0,2816350,4186830,60405,11212.4,141.3
"October","2011",10,2011-10-01,2011-10-31,"State Bank of Travancore",633,267,0,0,0,0,0,0,0,4926991,5579199,98653,15444.7,226.5
"October","2011",10,2011-10-01,2011-10-31,"IDBI Ltd.",782,731,22213,0,0,0,0,0,0,4315222,5741434,622874,21033.1,1111.07
"October","2011",10,2011-10-01,2011-10-31,"Catholic Syrian Bank Ltd.",109,56,0,0,0,0,0,0,0,305995,164804,8804,379.7,16.5
"October","2011",10,2011-10-01,2011-10-31,"City Union Bank Ltd",220,123,463,0,0,0,0,0,0,597516,885349,80829,2533.31,128.57
"October","2011",10,2011-10-01,2011-10-31,"Dhanalaxmi Bank Ltd.",168,237,0,0,1802,5,4428,0.01,11.9,1036102,416991,34190,1407.4,60.2
"October","2011",10,2011-10-01,2011-10-31,"Federal Bank Limited",505,351,2617,0,0,0,0,0,0,2340187,2189295,148756,8338.2,275.3
"October","2011",10,2011-10-01,2011-10-31,"ING Vysya Bank",227,200,0,0,0,0,0,0,0,1001345,3290731,149918,7657.81,298.918
"October","2011",10,2011-10-01,2011-10-31,"Jammu & Kashmir Bank",310,137,2905,0,27926,2229,33240,8.03844,124.529,1020674,3614124,25416,10065.5,81.421
"October","2011",10,2011-10-01,2011-10-31,"Karnataka Bank Ltd.",209,90,802,0,0,0,0,0,0,1306558,1191229,115604,3511.1,196
"October","2011",10,2011-10-01,2011-10-31,"Karur Vysya Bank Ltd",410,208,0,0,0,0,0,0,0,2360417,3510435,164361,10048.9,261.7
"October","2011",10,2011-10-01,2011-10-31,"Lakshmi Vilas Bank Ltd.",151,227,273,0,0,0,0,0,0,350375,657252,27803,2069.8,60.5
"October","2011",10,2011-10-01,2011-10-31,"Ratnakar Bank Ltd.",36,6,0,0,0,0,0,0,0,24727,53606,0,149.5,0
"October","2011",10,2011-10-01,2011-10-31,"South Indian Bank Ltd",454,121,9,0,0,0,0,0,0,1951126,3916075,63014,4229.6,141.2
"October","2011",10,2011-10-01,2011-10-31,"Tamilnadu Mercantile Bank Ltd.",142,93,0,17,5496,0,4620,0,11.4,718803,936369,24028,3714.3,59.5
"October","2011",10,2011-10-01,2011-10-31,"Development Credit Bank Ltd.",83,95,725,0,0,0,0,0,0,223106,385649,34082,1319.2,66.8
"October","2011",10,2011-10-01,2011-10-31,"HDFC  Bank Ltd.",3263,3437,154854,0,5379671,62491,7159652,393.847,24619.6,14391592,25082453,6254422,104919,10038.9
"October","2011",10,2011-10-01,2011-10-31,"ICICI Bank Ltd.",2956,4188,140824,4192,2996874,9051,4742669,47.3351,11952,15902251,25654707,5209877,112730,9880.07
"October","2011",10,2011-10-01,2011-10-31,"IndusInd Bank Ltd",324,343,95,0,186703,599,282639,3.6,1152.5,777357,1011774,128074,3665.3,241.9
"October","2011",10,2011-10-01,2011-10-31,"Kotak Mahindra Bank Ltd",309,450,0,0,187268,2192,252416,19.6148,775.188,1339652,2362177,349134,6283.82,598.94
"October","2011",10,2011-10-01,2011-10-31,"Axis Bank Ltd.",1835,5991,191379,0,702149,8562,781562,25.353,2210.92,11205040,47596452,2749498,105826,5370.22
"October","2011",10,2011-10-01,2011-10-31,"Yes Bank Ltd.",195,117,2334,0,0,0,0,0,0,172426,60276,59951,274.8,114
"October","2011",10,2011-10-01,2011-10-31,"RBS (ABN AMRO)",34,87,0,0,200818,1369,227243,11.7299,679.014,314039,583640,161888,2347.5,317.426
"October","2011",10,2011-10-01,2011-10-31,"American Express Bkg. Corp.",0,0,16346,0,605478,0,1585016,0,11877.4,0,0,0,0,0
"October","2011",10,2011-10-01,2011-10-31,"Barclays Bank",7,33,0,0,241873,0,172002,0,339.92,31768,48723,21784,177.733,42.2463
"October","2011",10,2011-10-01,2011-10-31,"Citibank",58,643,9028,0,2293068,29339,5973133,242.083,17016.4,2083866,3417695,1432046,12353.3,3145
"October","2011",10,2011-10-01,2011-10-31,"Deutsche Bank",12,52,0,0,0,0,0,0,0,99409,203120,87276,806.3,174.3
"October","2011",10,2011-10-01,2011-10-31,"DBS Ltd.",5,35,0,0,0,0,0,0,0,2046,25543,3637,61.8,5.665
"October","2011",10,2011-10-01,2011-10-31,"HSBC",72,70,9042,5664,787720,3232,1177378,22.0538,3375.87,522611,455753,284608,2127.93,728.823
"October","2011",10,2011-10-01,2011-10-31,"Oman International Bank SAO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"October","2011",10,2011-10-01,2011-10-31,"Standard Chartered Bank",95,220,15,0,1075857,2422,1966823,12,6270,738027,1515423,543865,5277.1,981.946
"September","2011",9,2011-09-01,2011-09-30,"Allahabad Bank",207,109,0,0,0,0,0,0,0,1157571,574981,61747,1155.2,112.1
"September","2011",9,2011-09-01,2011-09-30,"Andhra Bank",479,546,2258,0,121514,7154,91165,28.9,234.4,6549967,6657222,311752,16691.3,434
"September","2011",9,2011-09-01,2011-09-30,"Bank of Baroda",1215,585,4393,0,70851,2631,69725,0.8,184.9,7715488,5806952,396462,21145.7,627.4
"September","2011",9,2011-09-01,2011-09-30,"Bank of India",829,773,1906,502,118977,9304,85041,67.3,229.1,7914669,1971635,443606,6579.6,577.6
"September","2011",9,2011-09-01,2011-09-30,"Bank of Maharashtra",359,141,77,404,18829,0,12504,0,23.4,2194762,2080041,139719,6062,190.4
"September","2011",9,2011-09-01,2011-09-30,"Canara Bank",1583,1040,964,0,62312,8443,65625,36.3,157.2,6597791,6190652,481731,21826.6,941.8
